Year,StartDate,EndDate,Dam,Sockeye
2016,1/1/2016,12/31/2016,BON,342498
2015,1/1/2015,12/31/2015,BON,510706
2014,1/1/2014,12/31/2014,BON,614179
2013,1/1/2013,12/31/2013,BON,185505
2012,1/1/2012,12/31/2012,BON,515673
2011,1/1/2011,12/31/2011,BON,185796
2010,1/1/2010,12/31/2010,BON,386525
2009,1/1/2009,12/31/2009,BON,177823
2008,1/1/2008,12/31/2008,BON,213607
2007,1/1/2007,12/31/2007,BON,24376
2006,1/1/2006,12/31/2006,BON,37066
2005,1/1/2005,12/31/2005,BON,72971
2004,1/1/2004,12/31/2004,BON,123291
2003,1/1/2003,12/31/2003,BON,39291
2002,1/1/2002,12/31/2002,BON,49610
2001,3/15/2001,11/15/2001,BON,114934
2000,3/15/2000,11/15/2000,BON,93398
1999,3/15/1999,11/15/1999,BON,17877
1998,3/15/1998,11/15/1998,BON,13218
1997,3/15/1997,11/15/1997,BON,47008
1996,3/15/1996,11/15/1996,BON,30232
1995,3/15/1995,11/15/1995,BON,8774
1994,3/15/1994,11/15/1994,BON,12678
1993,3/15/1993,11/15/1993,BON,80178
1992,3/15/1992,11/15/1992,BON,84992
1991,3/15/1991,11/15/1991,BON,76481
1990,3/15/1990,11/15/1990,BON,49581
1989,3/1/1989,11/30/1989,BON,41884
1988,3/1/1988,11/30/1988,BON,79714
1987,3/1/1987,11/30/1987,BON,116993
1986,3/4/1986,11/30/1986,BON,58123
1985,3/15/1985,11/30/1985,BON,166340
1984,3/15/1984,11/15/1984,BON,152545
1983,3/15/1983,11/15/1983,BON,100527
1982,3/15/1982,11/15/1982,BON,50219
1981,3/15/1981,11/15/1981,BON,56037
1980,3/15/1980,11/15/1980,BON,58882
1979,3/15/1979,11/15/1979,BON,52628
1978,3/15/1978,11/15/1978,BON,18436
1977,3/15/1977,11/15/1977,BON,99829
1976,3/15/1976,11/15/1976,BON,43611
1975,3/15/1975,11/15/1975,BON,58212
1974,3/15/1974,11/15/1974,BON,43837
1973,3/15/1973,11/15/1973,BON,58979
1972,3/15/1972,11/15/1972,BON,56323
1971,3/1/1971,11/13/1971,BON,87447
1970,3/1/1970,11/21/1970,BON,70762
1969,3/2/1969,11/22/1969,BON,59636
1968,3/4/1968,11/23/1968,BON,108207
1967,3/1/1967,11/25/1967,BON,144157
1966,3/11/1966,11/26/1966,BON,156661
1965,3/1/1965,11/30/1965,BON,55125
1964,3/1/1964,11/28/1964,BON,99853
1963,3/1/1963,11/30/1963,BON,60319
1962,3/1/1962,11/28/1962,BON,28179
1961,3/1/1961,11/30/1961,BON,17111
1960,3/1/1960,11/30/1960,BON,59713
1959,3/1/1959,11/28/1959,BON,86560
1958,3/2/1958,11/29/1958,BON,122389
1957,3/1/1957,11/30/1957,BON,82915
1956,3/1/1956,12/1/1956,BON,156418
1955,2/28/1955,11/29/1955,BON,237748
1954,2/28/1954,11/27/1954,BON,130107
1953,3/1/1953,11/28/1953,BON,235215
1952,3/1/1952,11/29/1952,BON,184646
1951,3/1/1951,11/29/1951,BON,169428
1950,1/1/1950,11/29/1950,BON,77993
1949,1/1/1949,12/31/1949,BON,51444
1948,1/1/1948,12/31/1948,BON,131541
1947,1/1/1947,12/31/1947,BON,171139
1946,1/1/1946,12/31/1946,BON,74375
1945,1/1/1945,12/31/1945,BON,9501
1944,1/3/1944,12/30/1944,BON,15071
1943,1/1/1943,12/13/1943,BON,39845
1942,1/21/1942,12/31/1942,BON,55474
1941,1/2/1941,12/31/1941,BON,65741
1940,1/4/1940,12/31/1940,BON,148805
1939,1/2/1939,12/30/1939,BON,73382
1938,5/7/1938,12/31/1938,BON,75029
