Trap ID,Class,Total seedlings,ACPL,ACRU,QUSP,SAAL,All seedlings
E-1-1-C,C,2,0,1,0,1,2
E-1-1-T,T,0,0,0,0,0,0
E-1-3-C,C,5,0,3,0,2,5
E-1-3-T,T,0,0,0,0,0,0
E-2-11-C,C,11,0,10,0,1,11
E-2-11-T,T,1,0,1,0,0,1
E-2-1-C,C,7,0,3,1,3,7
E-2-1-T,T,0,0,0,0,0,0
E-2-2-C,C,10,0,4,0,6,10
E-2-2-T,T,0,0,0,0,0,0
E-2-5-C,C,2,0,0,0,2,2
E-2-5-T,T,0,0,0,0,0,0
E-2-8-C,C,15,0,14,0,1,15
E-2-8-T,T,0,0,0,0,0,0
E-3-10-C,C,9,1,4,0,4,9
E-3-10-T,T,0,0,0,0,0,0
E-3-11-C,C,19,2,9,0,7,18
E-3-11-T,T,0,0,0,0,0,0
E-3-12-C,C,7,1,6,0,0,7
E-3-12-T,T,2,0,2,0,0,2
E-3-19-C,C,14,0,10,0,4,14
E-3-19-T,T,0,0,0,0,0,0
E-3-1-C,C,3,0,2,0,1,3
E-3-1-T,T,0,0,0,0,0,0
E-3-20-C,C,13,0,12,0,1,13
E-3-20-T,T,1,0,1,0,0,1
E-3-21-C,C,19,0,17,0,2,19
E-3-21-T,T,2,0,2,0,0,2
E-3-22-C,C,25,0,20,2,3,25
E-3-22-T,T,0,0,0,0,0,0
E-3-24-C,C,14,0,5,0,9,14
E-3-24-T,T,3,0,1,0,2,3
E-3-2-C,C,24,0,21,0,3,24
E-3-2-T,T,0,0,0,0,0,0
E-3-3-C,C,8,0,4,0,4,8
E-3-3-T,T,0,0,0,0,0,0
E-3-4-C,C,30,0,24,0,6,30
E-3-4-T,T,2,0,0,0,2,2
E-3-5-C,C,17,0,13,0,4,17
E-3-5-T,T,0,0,0,0,0,0
E-3-6-C,C,18,0,6,0,12,18
E-3-6-T,T,0,0,0,0,0,0
E-3-7-C,C,8,0,3,0,5,8
E-3-7-T,T,0,0,0,0,0,0
E-3-8-C,C,12,0,5,0,7,12
E-3-8-T,T,0,0,0,0,0,0
E-3-9-C,C,8,0,4,0,4,8
E-3-9-T,T,3,0,1,0,2,3
I-1-1-C,C,6,2,4,0,0,6
i-1-1-t,T,0,0,0,0,0,0
I-1-2-C,C,3,0,3,0,0,3
I-1-2-T,T,0,0,0,0,0,0
I-2-3-C,C,16,0,16,0,0,16
I-2-3-T,T,0,0,0,0,0,0
I-2-6-T,T,0,0,0,0,0,0
