### Site codes and variables at each site ###,,,,,
Site,Logging,Time since logging_months,Logging intensity_trees_ha,Skid trail density _m_ha,Time since first survey_days
K43-4U,Unlogged,0,0,0,0
K43-4L,Logged,12,2.785,2903,1040
K43-3U,Unlogged,0,0,0,0
K43-3L,Logged,12,5.013,2587,1041
K43-2U,Unlogged,0,0,0,0
K43-2L,Logged,12,4.138,878,1040
K43-1U,Unlogged,0,0,0,0
K43-1L,Logged,12,4.218,831,1040
K41-4U,Unlogged,0,0,0,0
K41-4L,Logged,12,1.592,2885,1110
K41-3U,Unlogged,0,0,0,0
K41-3L,Logged,12,5.968,4213,1110
K41-2U,Unlogged,0,0,0,0
K41-2L,Logged,12,2.308,2313,1112
K41-1U,Unlogged,0,0,0,0
K41-1L,Logged,12,1.035,0,1114
K39-4U,Unlogged,0,0,0,0
K39-4L,Logged,16,3.342,1306,1103
K39-3U,Unlogged,0,0,0,0
K39-3L,Logged,16,5.013,2745,1104
K39-2U,Unlogged,0,0,0,0
K39-2L,Logged,16,4.138,2142,1087
K39-1U,Unlogged,0,0,0,0
K39-1L,Logged,16,4.218,2661,1103
E6-2U,Unlogged,0,0,0,0
E6-2L,Logged,16,2.387,1336,1477
E6-1U,Unlogged,0,0,0,0
E6-1L,Logged,16,2.467,1967,1479
E4-3U,Unlogged,0,0,0,0
E4-3L,Logged,12,1.671,1424,1106
E4-2U,Unlogged,0,0,0,0
E4-2L,Logged,12,0.477,464,1106
E4-1U,Unlogged,0,0,0,0
E4-1L,Logged,12,3.661,1750,1107
C-1B,Control_before,0,0,0,0
C-1A,Control_after,0,0,0,1087
C-2B,Control_before,0,0,0,0
C-2A,Control_after,0,0,0,1086
C-3B,Control_before,0,0,0,0
C-3A,Control_after,0,0,0,1085
