site,location,barberry,date,mass,barberry stems,barberry drymass,soil pH
1-1-C-2,EH,C,4-Nov-16,136,0,0,6.75
1-1-T-2,I,I,2-Sep-16,484,15,63.61604428,6.2
2-1-C-2,EH,C,4-Nov-16,241,0,0,6.55
2-1-T-1,I,I,2-Sep-16,357,2.5,5.319511941,6.2
2-1-T-2,EH,I,4-Nov-16,331,4.5,4.821467688,6.4
2-2-C-2,EH,C,2-Sep-16,379,0,0,6.25
2-2-T-2,EH,I,4-Nov-16,189,9.5,8.70565616,5.95
2-3-C-2,EH,C,2-Sep-16,533,0,0,5.45
2-3-T-2,EH,I,2-Sep-16,78,3.5,3.454259983,6.05
2-4-C-2,EH,C,2-Sep-16,115,5,17.22493043,6.85
2-4-T-1,EH,I,2-Sep-16,175,8.5,24.60789763,6.6
2-4-T-2,EH,I,4-Nov-16,170,6,7.420878915,6.6
3-1-C-1,EH,C,4-Nov-16,145,0,0,6.1
3-1-C-2,EH,C,2-Sep-16,207,0,0,6
3-1-C-2,I,C,4-Nov-16,161,0,0,6.8
3-1-T-2,EH,I,2-Sep-16,159,16,54.00652021,6.25
3-2-C-2,EH,C,2-Sep-16,494,0,0,6.4
3-2-C-2,I,C,2-Sep-16,440,0,0,6.8
3-2-T-2,I,I,2-Sep-16,422,14.5,50.77919223,5.4
3-2-T-3,EH,I,2-Sep-16,122,9,29.88169973,6.2
3-3-C-2,EH,C,2-Sep-16,555,0,0,6.55
4-1-C-2,EH,C,4-Nov-16,343,0,0,6.5
4-2-C-2,EH,C,2-Sep-16,427,0,0,6.8
4-2-T-2,EH,I,4-Nov-16,125,8,6.707377792,6.2
