sites,location,genus,species,count
1-1-C-2,EH,Ventridens,virginicus,1
2-1-C-2,EH,Zonitoides,arboreus,3
2-1-T-2,EH,Zonitoides,arboreus,1
2-1-T-2,EH,Striatura,meridionalis,4
2-1-T-2,EH,Striatura,milium,3
2-1-T-2,EH,Punctum,minutissimum,10
2-1-T-2,EH,Helicodiscus,parallelus,1
2-1-T-2,EH,Columella,simplex,3
2-1-T-2,EH,Ventridens,virginicus,2
2-1-T-2,EH,Glyphyalinia,wheatleyi,2
2-2-C-2,EH,Glyphyalinia,indentata,2
2-2-C-2,EH,Punctum,minutissimum,2
2-2-C-2,EH,Ventridens,virginicus,2
2-2-C-2,EH,Glyphyalinia,wheatleyi,1
2-2-T-2,EH,Glyphyalinia,indentata,5
2-2-T-2,EH,Striatura,milium,1
2-2-T-2,EH,Punctum,minutissimum,4
2-2-T-2,EH,Gastrocopta,pentodon,1
2-2-T-2,EH,Ventridens,virginicus,15
2-2-T-2,EH,Glyphyalinia,wheatleyi,10
2-3-C-2,EH,none,none,0
2-3-T-2,EH,Glyphyalinia,indentata,2
2-3-T-2,EH,Striatura,meridionalis,1
2-3-T-2,EH,Glyphyalinia,rhoadsi,2
2-3-T-2,EH,Ventridens,virginicus,5
2-3-T-2,EH,Glyphyalinia,wheatleyi,1
2-4-C-2,EH,Striatura,meridionalis,1
2-4-C-2,EH,Punctum,minutissimum,2
2-4-C-2,EH,Ventridens,virginicus,4
2-4-T-1,EH,none,none,0
2-4-T-2,EH,Glyphyalinia,indentata,2
2-4-T-2,EH,Triodopsis,juxtidens,1
2-4-T-2,EH,Punctum,minutissimum,1
2-4-T-2,EH,Glyphyalinia,wheatleyi,2
3-1-C-1,EH,none,none,0
3-1-C-2,EH,Zonitoides,arboreus,4
3-1-C-2,EH,Glyphyalinia,indentata,1
3-1-C-2,EH,Striatura,meridionalis,1
3-1-C-2,EH,Punctum,minutissimum,15
3-1-C-2,EH,Gastrocopta,pentodon,1
3-1-C-2,EH,Glyphyalinia,rhoadsi,1
3-1-C-2,EH,Ventridens,virginicus,9
3-1-C-2,EH,Glyphyalinia,wheatleyi,13
3-1-T-2,EH,Zonitoides,arboreus,1
3-1-T-2,EH,Triodopsis,dentata,2
3-1-T-2,EH,Glyphyalinia,indentata,3
3-1-T-2,EH,Triodopsis,juxtidens,1
3-1-T-2,EH,Punctum,minutissimum,3
3-1-T-2,EH,Columella,simplex,1
3-1-T-2,EH,Ventridens,virginicus,3
3-1-T-2,EH,Glyphyalinia,wheatleyi,4
3-2-C-2,EH,Ventridens,virginicus,4
3-2-T-3,EH,Striatura,meridionalis,4
3-2-T-3,EH,Punctum,minutissimum,2
3-2-T-3,EH,Helicodiscus,parallelus,1
3-2-T-3,EH,Ventridens,virginicus,4
3-2-T-3,EH,Glyphyalinia,wheatleyi,3
3-3-C-2,EH,Glyphyalinia,indentata,1
3-3-C-2,EH,Columella,simplex,1
3-3-C-2,EH,Ventridens,virginicus,4
3-3-C-2,EH,Glyphyalinia,wheatleyi,4
4-1-C-2,EH,Striatura,milium,8
4-1-C-2,EH,Punctum,minutissimum,36
4-1-C-2,EH,Triodopsis,tridentata,1
4-1-C-2,EH,Ventridens,virginicus,7
4-1-C-2,EH,Glyphyalinia,wheatleyi,4
4-2-C-2,EH,Glyphyalinia,indentata,3
4-2-C-2,EH,Glyphyalinia,wheatleyi,1
4-2-T-2,EH,Helicodiscus,parallelus,1
4-2-T-2,EH,Glyphyalinia,wheatleyi,3
1-1-T-2,I,Glyphyalinia,indentata,6
1-1-T-2,I,Striatura,meridionalis,1
1-1-T-2,I,Punctum,minutissimum,1
1-1-T-2,I,Helicodiscus,parallelus,2
1-1-T-2,I,Glyphyalinia,wheatleyi,5
2-1-T-1,I,Glyphyalinia,indentata,1
2-1-T-1,I,Glyphyalinia,wheatleyi,1
3-1-C-2,I,Glyphyalinia,indentata,1
3-1-C-2,I,Punctum,minutissimum,2
3-1-C-2,I,Glyphyalinia,wheatleyi,1
3-2-C-2,I,Glyphyalinia,wheatleyi,1
3-2-T-2,I,Glyphyalinia,indentata,1
